Date,MSFT,AAPL,META,AMZN,GOOG
22/2/2021,226.7490387,123.258316,259.1088257,159.0370026,102.7572937
23/2/2021,225.5500641,123.1213837,264.6128845,159.7250061,103.0548859
24/2/2021,226.7877045,122.6224747,263.0701294,157.9765015,104.2646561
25/2/2021,221.4117432,118.3573303,253.4952698,152.8580017,101.0891876
26/2/2021,224.6895447,118.6214752,256.4115295,154.6464996,101.3628922
1/3/2021,229.0986328,125.0093765,263.6673889,157.3070068,103.584877
2/3/2021,226.1302185,122.3974762,257.7850647,154.7265015,103.3027115
3/3/2021,220.0290527,119.4040604,254.2118988,150.25,100.8577957
4/3/2021,219.2265167,117.5160522,256.431427,148.8784943,101.9715195
5/3/2021,223.9353333,118.777977,263.0402832,150.022995,104.9300079
8/3/2021,219.8646851,113.8280945,254.1123657,147.5975037,100.7313919
9/3/2021,226.0431976,118.4551468,264.4934387,153.1425018,102.1511688
10/3/2021,224.7282104,117.3693085,263.6573792,152.8820038,102.2671204
11/3/2021,229.2823334,119.3062363,272.5952759,155.6795044,105.2400284
12/3/2021,227.9480438,118.3964539,267.1409607,154.4745026,102.609993
15/3/2021,227.039093,121.2920532,272.4659119,154.0839996,102.8374252
16/3/2021,229.8431396,122.837677,277.9699097,154.5930023,104.1327744
17/3/2021,229.195282,122.0453186,282.6777344,156.786499,104.0611115
18/3/2021,223.0844421,117.9073563,277.3130188,151.3995056,101.3310394
19/3/2021,222.7266998,117.3790817,288.7490845,153.7480011,101.6783981
22/3/2021,228.180069,120.7051163,292.1630249,155.5435028,101.4489975
23/3/2021,229.7174683,119.8736191,289.2666931,156.875,102.1641083
24/3/2021,227.6675873,117.4769058,280.8165283,154.3535004,101.7709656
25/3/2021,224.6508484,117.9660339,277.4324341,152.3130035,101.736145
26/3/2021,228.6538391,118.5725403,281.6923828,152.6015015,101.297699
29/3/2021,227.4548798,118.748642,289.4558105,153.786499,102.3129044
30/3/2021,224.1770935,117.2910614,286.6490173,152.7644958,102.2925034
31/3/2021,227.9673309,119.4920883,293.1483765,154.7039948,102.9439163
1/4/2021,234.3295898,120.3236008,297.2590027,158.0500031,106.3836212
5/4/2021,240.8271942,123.1605072,307.460907,161.3365021,110.7529221
6/4/2021,239.6572113,123.4637527,304.8233643,161.1909943,110.7131195
7/4/2021,241.6296997,125.1169815,311.6213074,163.9694977,111.953743
8/4/2021,244.8688507,127.5234604,311.5516663,164.9649963,112.7380295
9/4/2021,247.3827972,130.1060028,310.9942627,168.6100006,113.7552032
12/4/2021,247.4408417,128.3842773,310.0786133,168.9694977,112.2080383
13/4/2021,249.9354095,131.5048676,308.3069458,170,112.8290939
14/4/2021,247.1314087,129.1571198,301.3995361,166.6499939,112.2105103
15/4/2021,250.9120178,131.573349,306.3760376,168.9544983,114.2916641
16/4/2021,252.1109314,131.2407837,304.7437134,169.9720001,114.346405
19/4/2021,250.1771545,131.9059296,300.8222046,168.6004944,114.5773163
20/4/2021,249.7130127,130.2136383,301.2302856,166.7344971,114.1408844
21/4/2021,251.9562683,130.5951385,300.0558472,168.1009979,114.1239548
22/4/2021,248.6591339,129.0690765,295.1290588,165.4519958,112.8614349
23/4/2021,252.5073853,131.3972931,299.7174683,167.0440063,115.2192688
26/4/2021,252.8941956,131.7886047,301.6184692,170.4499969,115.7885742
27/4/2021,253.3003235,131.4657593,302.1459961,170.8715057,114.8122025
28/4/2021,246.135498,130.6733856,305.6594238,172.9250031,118.4345398
29/4/2021,244.1533203,130.5755463,327.964325,173.565506,120.9217529
30/4/2021,243.8342743,128.5995178,323.5550232,173.3710022,119.937912
3/5/2021,243.5248566,129.6559906,321.0667725,169.3244934,119.1939316
4/5/2021,239.5895233,125.0680542,316.8665771,165.5935059,117.1575851
5/5/2021,238.3132324,125.3126373,313.5422363,163.5269928,117.2814941
6/5/2021,241.4653473,126.9169388,318.5188293,165.3184967,118.5061951
7/5/2021,244.1049805,127.5930862,317.5832214,164.5805054,119.3691101
10/5/2021,238.9997101,124.3005981,304.5347595,159.5245056,116.5310516
11/5/2021,238.0811615,123.3794937,305.0921021,161.1954956,114.8938141
12/5/2021,231.0904541,120.3026047,301.1307373,157.5970001,111.4262314
13/5/2021,234.9870758,122.4583893,303.828064,158.0735016,112.5653381
14/5/2021,239.9375916,124.8885345,314.4579468,161.1450043,115.2620697
17/5/2021,237.0659485,123.7322464,313.9801941,163.5195007,115.5233383
18/5/2021,235.0354156,122.3407898,308.506012,161.6139984,114.6285629
19/5/2021,235.6169128,122.1840134,312.1189575,161.5899963,114.8913269
20/5/2021,238.8731995,124.7513351,317.115448,162.3840027,117.2491531
21/5/2021,237.6036072,122.9091492,314.7466125,160.154007,116.70224
24/5/2021,243.0405121,124.545578,323.1071777,162.2494965,119.766243
25/5/2021,243.9514923,124.3495941,326.2524109,162.9524994,119.8856659
26/5/2021,243.7285919,124.3005981,326.1229858,163.2579956,121.1028976
27/5/2021,241.6158752,122.7621536,331.1890869,161.5054932,119.5592194
28/5/2021,241.9744568,122.1056137,327.1879272,161.1535034,120.0095901
1/6/2021,239.764801,121.7822418,327.5860901,160.9324951,120.917778
2/6/2021,239.6679077,122.5465775,327.605957,161.6994934,120.4932938
3/6/2021,238.1270142,121.0571213,324.5105591,159.3504944,119.6637115
4/6/2021,243.0501862,123.3599014,328.8003845,160.3110046,122.0101013
7/6/2021,245.9769897,123.3697052,335.0011292,159.9004974,122.7232132
8/6/2021,244.7752838,124.1928024,332.1147156,163.2055054,123.5572815
9/6/2021,245.7637939,124.5749817,328.7008057,164.0574951,123.9827652
10/6/2021,249.3011017,123.5754776,330.9004517,167.4824982,125.4856415
11/6/2021,249.9311218,124.7905579,329.7061157,167.341507,125.1039581
14/6/2021,251.8693542,127.8576431,335.1902771,169.1934967,125.7563553
15/6/2021,250.3865356,127.0345459,335.1703186,169.1564941,125.438858
16/6/2021,249.4368439,127.5342789,329.526886,170.7624969,125.1039581
17/6/2021,252.8481293,129.1412811,334.9314575,174.4620056,125.7752686
18/6/2021,251.4235535,127.8380585,328.1135864,174.3450012,124.975563
21/6/2021,254.5248108,129.6410522,330.7312622,172.697998,125.8588715
22/6/2021,257.3160095,131.2872772,337.4396362,175.2720032,126.4008026
23/6/2021,257.083313,131.0129395,338.9923096,175.1909943,125.8653412
24/6/2021,258.4595032,130.728775,341.5701599,172.4539948,126.6819687
25/6/2021,256.8410339,130.4348145,339.7686768,170.072998,126.3963394
28/6/2021,260.4268188,132.0711975,353.9717407,172.1945038,126.2216644
29/6/2021,263.0241699,133.5900879,350.2393188,172.4069977,125.4244385
30/6/2021,262.5395508,134.2073975,346.078949,172.0079956,124.7252426
1/7/2021,263.2179565,134.5111847,352.7276001,171.6484985,125.7727814
2/7/2021,269.0812683,137.1471405,353.0361023,175.548996,128.1121826
6/7/2021,269.0909729,139.1657104,351.1251221,183.7870026,129.1592255
